Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
32,20143 Beatty Ridge Rd,1200000,"Rare single level mountain home! Located in the highly-desirable community of Las Cumbres. This 4BR / 2.5 BA / 2455 sq ft home has been lovingly care for. Newer roof, newer hot water heater, newer furnace and AC, double paned windows, solar system are just a few of the upgrades. Kitchen was remodeled with gorgeous green granite counters and rich red birch cabinets. Master BR has a private bonus room plus walk-in closet. Master BA was remodeled in 2016 with luxurious shower.  Unique sun room features great passive solar.  Dining room has impressive built-in buffet w plenty of storage. Spacious 2-car garage! Enormous attic with pull-down ladder. Long-range view to the west for sunset vistas. Large fenced garden w raised garden beds. Fenced-in dog run. Las Cumbres is known for its hospitality, pot lucks, soup groups and neighborliness. Community features include swimming pool, tennis courts, bocce ball court, community center and 1,000 acres of hiking trails. Los Gatos schools.",SingleFamily,1977,"Central Forced Air, Stove - Wood",Central AC,"Garage, Garage - Attached",34848,"Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor",3,2,2455,0,0,Los Gatos,Lakeside Elementary School,8,3.4,,,,Los Gatos High School,10,6.2,"Tile, Hardwood, Carpet",Forced air,Central,"Dishwasher, Dryer, Range / Oven, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached",224337,4713,2019/11/20,1200000,,,Los Gatos,95033,CA
33,4226 Tivoli Ave,1745000,"Completely renovated, grand two story home with abundant natural light and an open floor plan in a premiere Westside location combining traditional charm with contemporary design finishes. A permitted second floor addition adds two spacious master bedrooms upstairs with vaulted ceilings and two generously-sized bedrooms on the first floor. Recent additions include stainless steel appliances, Cambria quartz countertops, a farmhouse sink, and a solid walnut bar in the eat-in kitchen. Oak hardwood floors have been revived throughout. There are two working fireplaces, including one in the master suite. The living spaces flank the dining room and flow out onto your private patio with brand new landscaping and large detached garage. There is a dedicated laundry room with tons of storage, counter space, and a sink. This desirable location has you in the heart of all that is the Westside with beaches, restaurants, and shopping.  You are close to Venice, Culver, Marina Del Rey and so much more.",SingleFamily,1941,,None,"Driveway, Garage - Two Door",,4,2,2,2783,0,0,Los Angeles,Short Avenue Elementary School,6,0.3,Marina Del Rey Middle School,2,1,Venice Senior High School,6,0.6,Wood,,None,,Laundry Room,"Driveway, Garage - Two Door",351909,4443,2019/10/2,1995000,2008/12/9,4200,Los Angeles,90066,CA
34,4189 Jackson Ave,1605000,"Spanish style home and guest house on a 50' X 135' lot zoned R-2. Home features separate dining room, hardwood floors, & an abundance of windows filling the home with natural light. Remodeled bathroom and separate laundry room. Behind the house is a 470 sq ft detached Spanish ""casita"" consisting of two rooms and a 3/4 bath and features tile floors with radiant heat and high end finishes, plus a beautiful overhanging porch. Permitted casita was built in 2007.  Square footage listed is both units combined (approx); buyer to verify. Beautiful grounds with various gathering areas, secret gardens, & 6 different fruit trees. Wisteria covered deck with built-in seating provides a calm spot to relax with a hot cup of coffee or iced drink. The two car detached garage has been partially rebuilt and there is a handy storage shed behind the garage. Jackson Avenue is a quiet street and close to everything that is happening in downtown Culver City, the Culver Studios, Sony, & Expo Station",SingleFamily,1928,Floor Furnace,None,"Detached Carport, Garage - Two Door",,2,1,1,1520,0,0,Culver City,Linwood E. Howe Elementary School,6,0.5,Culver City Middle School,7,0.6,Culver City High School,8,0.7,"Wood, Tile",Floor Furnace,None,Dishwasher,Inside,"Detached Carport, Garage - Two Door",488446,6765,2019/8/27,1785000,,,Culver City,90232,CA
35,4181 Sutro Ave,640750,"This Leimert Park 3 bedroom 2 bath home is waiting for you to give it some TLC. The house has a lot of potentials, and the area is booming with upgrade and redevelopment throughout the community this area features, Spanish Colonial Revivals of homes and treelined streets with a central commercial area with a park that has remained central to the community. There is a lot of culture in Leimert Park and room to grow along with the future plans throughout the Crenshaw district area of Los Angeles. Bring your fussy buyers approved by a direct lender, POF and looking for a cultural experience. Offers to be submitted subject to inspection.",SingleFamily,1936,Forced Air,,Garage - Two Door,,3,2,2,1440,0,0,Los Angeles,Forty-Second Street Elementary School,2,0.1,Audubon Middle School,2,0.4,,,,,Forced Air,,,In Kitchen,Garage - Two Door,176963,2328,2019/10/23,685000,,,Los Angeles,90008,CA
36,1342 N Sierra Bonita Ave APT 204,895000,"No walls attached to neighbors. Front door entry to level 3 guest unit and a front door entry to level 2 main unit. Shows like a model. Amazing option for live-in Mother In-Law or Separate Guest Quarters as floor plan has two master suites, each with an office station, dining area and large walk-in closets, each on its own level, two HVAC systems and great privacy. Built-in SONOS surround sound system on level 1 and 2. 3 INCH custom soundproofing on level 2 & 3 for loud music. One of the HVAC systems is brand new. Lots of sunlight. NEST security cameras. Dance/fitness area with speakers in living area. Private infrared sauna & meditation area with heated porcelain tile flooring. WOLF stove, see-through Sub-Zero glass fridge, Thermador built-in espresso machine, quartz counters..",Condo,1991,"Fireplace(s), Forced Air","Central Air, Dual","Assigned, Controlled Entrance, Garage, Gated, Guest, Side By Side, Underground",,2,3,2,1600,2,2,West Hollywood,Gardner Street Elementary School,7,0.3,Hubert Howe Bancroft Middle School,3,1.1,Fairfax Senior High School,7,0.9,"Wood, Tile","Fireplace(s), Forced Air","Central Air, Dual","Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Water Purifier, Built-In, Convection Oven, Gas Cooktop, Gas Range, Range, Range Hood, Washer, Dryer","Laundry Closet, Inside, Upper Level, Laundry Room","Assigned, Controlled Entrance, Garage, Gated, Guest, Side By Side, Underground",753456,9196,2019/10/11,968000,,,Los Angeles,90046,CA
37,1146 E 85th St,430000,Spanish style 2 bedroom 1 bath house.,SingleFamily,1929,,None,Garage,5174,2,1,1,840,4,1,Los Angeles,Russell Elementary School,5,0.2,Charles Drew Middle School,1,0.4,,,,,,None,,Inside,Garage,322000,4530,2019/11/7,399900,2019/9/9,322000,Los Angeles,90001,CA
38,1340 Leavenworth St,652000,"Enchanting, free standing , Nob Hill Cottage tucked away in one of the most desirable neighborhoods of San Francisco. Main room with gas burning fireplace & beautiful hardwood floors. Exposed vaulted ceilings with skylight. Well designed kitchen has granite countertops & stainless steel appliances. Bathroom has custom tile & Grohe fixtures. In-unit laundry. A pull down Murphy bed is easily concealed into wall when not in use. This charming cottage is delightful with its classic cottage facade and flower boxed windows. Their is ROOF TOP deck with Golden Gate Bridge & panoramic views.",SingleFamily,1949,Electric,,None,,0,1,1,,0,0,San Francisco,Spring Valley Elementary School,6,0.2,Francisco Middle School,6,0.7,Galileo High School,8,0.8,Wood,Electric,,"Dishwasher, Disposal, Range Hood",Laundry Closet,None,,,2019/10/19,629000,2013/9/24,420000,San Francisco,94109,CA
39,4150 Bain Ave,1250000,"Rarely available prime location!  With 1640 square feet of renovated living space this home featuring a flexible floor plan which offers a comfortable and relaxed lifestyle. Whether you prefer to stroll the one block walk to the best Pleasure Point shops, cafes & restaurants or you are heading straight to the world class beaches and surf spots this location will not disappoint.  This lovely 3 Bedroom, 2 Bathroom home features an inviting front patio space to host old friends and make new ones.  With it's over sized Living Room remodeled Kitchen and the large Master Suite retreat features a spacious walk in closet, attached office space and access to a private side yard deck. Featuring an attached two car garage PLUS bonus storage area for your surf shack, bikes, kayaks, arts and crafts or practically any hobby you will not feel cramped here.  If you are like me, you are sure to enjoy this friendly and inviting neighborhood.  Don't miss out, make this lovely Opal Cliffs home yours!",SingleFamily,1950,"Gas, Forced Air",None,"Garage, Garage - Attached",7623,"Ground Floor Bedroom, Master Bedroom on Ground Floor, Master Suite / Retreat, Walk-in Closet",2,2,1640,0,0,Santa Cruz,Soquel Elementary School,5,1.3,New Brighton Middle School,6,1.3,Harbor High School,7,2.3,"Tile, Hardwood, Carpet","Forced air, Gas",None,Range / Oven,"In Garage, Tub / Sink, Electricity Hookup (220V)","Garage, Garage - Attached",505939,7407,2019/11/12,1298000,1998/11/18,360000,Santa Cruz,95062,CA
40,1500 W Tichenor St,525000,"This is a stunning Completely updated 3 bed 2 bath family home! Back yard has a fully finished permitted 218 sqft storage shed which leaves many possibilities.  Home has been tastefully updated with new kitchen cabinets, quartz counter tops and beautiful stainless-steel appliances. All rooms feature brand new flooring and lighting. The master bedroom has a beautiful in suite bathroom with custom tile finishes. All Plumbing, electrical, central ac / heat, windows, flooring, doors, etc. is brand new and done  with city permits  This home is a must see. And move in ready",SingleFamily,1949,,Central Air,Garage - Attached,5500,3,2,2,1235,1,1,Compton,Longfellow Elementary School,5,0.3,,,,Compton High School,3,1.2,Wood,,Central Air,"Dishwasher, Free-Standing Range, Gas Oven, Refrigerator",Inside,Garage - Attached,525000,9149,2019/11/30,525000,2019/8/7,250000,Compton,90220,CA
41,95 Red Rock Way APT 102M,675000,"Resort-style living in SF!  Great Opportunity to own this gorgeous condo located in Diamond Heights Village.  Open floor plan with updated kitchen (including granite countertops), spacious living room and one large bedroom.  Full access to a remodeled clubhouse, a newly expanded fitness center, outdoor heated pool, poolroom, sauna & party room.  Close distance to shopping center, restaurant, and close to Noe Valley, Glen Park Village & Glen Canyon. This unit also comes with deeded one-car parking.",Condo,1972,"Gas, Wall Furnace",None,Garage,,1,1,1,830,0,0,San Francisco,Rooftop Elementary School,6,0.5,,,,,,,,Gas,None,"Dishwasher, Microwave, Refrigerator",,Garage,703578,9187,2019/10/30,639000,2016/5/11,650000,San Francisco,94131,CA
42,265 Curlew Ct,1900000,"Great curb apparel w/meandering greenery & flowers. Crown molding in LV adds perfection. Kitchen w/ample maple cabinets, built in breakfast nook granite counters & recessed lights. Four burner stove has ac center griddle for pancakes. Family room w/gas fireplace & marble hearth. Granite counter wet bar illuminated by recessed light. Sliding door to paver backyard and huge side yard, RV parking or game of basketball. All bedrooms have refinished hardwood firs and living area has laminated firs.",SingleFamily,1965,"Forced air, Gas",,"Garage, Garage - Attached, Covered",7230,4,3,,3500,2,2,Foster City,Audubon Elementary School,6,0.4,Bowditch Middle School,7,1.1,San Mateo High School,7,4.3,Hardwood,"Forced air, Gas",,Dishwasher,,"Garage, Garage - Attached, Covered",1634260,18558,2019/11/18,1850000,2015/12/2,1540000,San Mateo,94404,CA
43,110 N Palm Dr,2900000,"Over $250,000 Price Improvement!!! Trust Sale-Amazing opportunity in Prime Beverly Hills!!!   Welcome to this 3-bedroom, 3.5 bath, 2348 square foot home located on a fabulous tree lined street just north of Wilshire Blvd in the famed 90210 zip code and well sought-after Beverly Hills School District.  This wonderful home offers an incredible opportunity to remodel or build your dream home on a nice, deep 7500 square feet lot. Original floorplan and layout are perfectly set for the easy transition to the contemporary, modern style of today. Huge, open living room with beautiful fireplace. Eat-in kitchen/family room combo and separate dining room. Large Master Bedroom with lovely ensuite master bath; walk-in closets and lots of storage space. Nice big backyard with sparkling pool and SPA. Large (permitted) over 500 sq. feet guest house w/ 1Br+1Ba.  The Living room was converted to the fully functional studio apartment with private entrance, which can be used as a guest∏MŸ¸ quarters or rental.  Location! Location! Location!   World-renowned fashion houses, restaurants and hotels in the famous ∏M‚›olden Triangle∏M?are just blocks away.   110 N. Palm Drive is truly located in one of the most sought-after neighborhoods in all of California.",SingleFamily,1933,Central,Central Air,Driveway,7500,3,4,3,2348,3,3,Beverly Hills,Beverly Vista Elementary School,8,0.3,,,,Beverly Hills High School,9,1.4,Wood,Central,Central Air,,"Gas Dryer Hookup, Washer Hookup",Driveway,1775961,21379,2019/7/18,3350000,,,Beverly Hills,90210,CA
44,234 Elm St APT 201,940000,"This rare and sought-after 3 bedroom, 2 bathroom condo is conveniently located just a few blocks from Downtown San Mateo. 234 Elm features a spacious central living room with access to the kitchen, a secluded balcony, and a large dining area. All three of the expansive bedrooms have an abundance of natural light and ample closet space. This condominium is not only spacious but the HOA includes a pool, BBQ area, underground parking, and extra storage. With easy access to some of the best restaurants and entertainment options in downtown Burlingame and San Mateo, 234 Elm is an ideal home.",Condo,1964,Forced Air,None,Garage - Attached,,3,2,2,1621,0,0,San Mateo,San Mateo Park Elementary School,4,0.7,Borel Middle School,6,1.4,San Mateo High School,7,0.5,"Carpet, Vinyl / Linoleum",Forced air,None,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",Outside,Garage - Attached,434494,6140,2019/10/18,998000,,,San Mateo,94401,CA
45,1741 S Spaulding Ave,1200000,"1741 S Spaulding Ave, Los Angeles, CA 90019 is a single family home that contains 1,127 sq ft and was built in 1938. It contains 3 bedrooms and 2 bathrooms. This home last sold for $1,200,000 in January 2020. 
 
The Zestimate for this house is $1,339,241. The Rent Zestimate for this home is $3,900/mo.",SingleFamily,1938,Forced air,Central,"Garage, Covered",4809,3,2,1,1127,4,4,Los Angeles,Crescent Heights Boulevard Elementary School,4,0.6,,,,Alexander Hamilton Senior High School,6,1.7,,Forced air,Central,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator","Individual Room, Gas Dryer Hookup, Washer Hookup","Garage, Covered",939286,11564,2018/11/26,1125000,,,Los Angeles,90019,CA
